user_id,month,actual_future_silence,risk_score,prediction
U-668EE1,2025-01,1,0.751299,1
U-668EE1,2025-12,1,0.81201,1
U-EAE427,2025-01,1,0.268798,0
U-EAE427,2025-07,1,0.628122,1
U-7D9C5A,2025-11,1,0.719132,1
U-7101F2,2025-01,1,0.751299,1
U-A43582,2025-02,1,0.719132,1
U-EB1C9D,2025-08,1,0.719132,1
U-A75673,2025-02,0,0.577978,1
U-A75673,2025-05,0,0.68698,1
U-A75673,2025-06,1,0.571295,1
U-EA8B35,2025-03,1,0.639723,1
U-28594B,2025-08,1,0.528233,1
U-A03E30,2025-02,1,0.702011,1
U-49B0E8,2025-03,1,0.751299,1
U-89DE8D,2025-05,1,0.719132,1
U-3D02E6,2025-04,1,0.515453,1
U-9032EF,2025-03,1,0.686224,1
U-18E3C2,2025-07,1,0.800318,1
U-E9CDAB,2025-08,0,0.688957,1
U-E9CDAB,2025-09,0,0.272341,0
U-E9CDAB,2025-10,0,0.092031,0
U-E9CDAB,2025-11,0,0.454703,0
U-E9CDAB,2025-12,0,0.12796,0
U-D606A4,2025-04,1,0.719132,1
U-B21A22,2025-04,0,0.719132,1
U-B21A22,2025-05,1,0.700883,1
U-34FD3E,2025-06,1,0.639723,1
U-3EAA29,2025-12,1,0.751299,1
U-AF291D,2025-09,1,0.702011,1
U-E05066,2025-05,1,0.65594,1
U-51CF6A,2025-08,1,0.788167,1
U-44F5A6,2025-06,1,0.719132,1
U-ED00A4,2025-05,0,0.648448,1
U-ED00A4,2025-06,0,0.641554,1
U-ED00A4,2025-09,0,0.581337,1
U-ED00A4,2025-10,1,0.431783,0
U-1769F6,2025-06,0,0.645018,1
U-1769F6,2025-07,1,0.720637,1
U-262B63,2025-08,1,0.751299,1
U-3C7DDF,2025-06,1,0.479651,0
U-473DBD,2025-07,1,0.719132,1
U-DDC68E,2025-06,0,0.772572,1
U-DDC68E,2025-08,1,0.423852,0
U-E128D7,2025-11,0,0.751299,1
U-E128D7,2025-12,0,0.65884,1
U-621E05,2025-09,1,0.518509,1
U-0061D8,2025-07,1,0.719132,1
U-608F70,2025-11,1,0.639723,1
U-6D7CE7,2025-10,1,0.751299,1
U-FCB778,2025-10,1,0.719132,1
U-AED2B5,2025-09,0,0.719132,1
U-AED2B5,2025-10,1,0.77998,1
U-4EB14F,2025-10,1,0.719132,1
U-CB59CA,2025-10,1,0.800318,1
U-A7BE64,2025-12,1,0.65594,1
U-91EFFB,2025-11,1,0.719132,1
U-FE8F01,2025-12,1,0.800318,1
